email,totalQty,totalPrice,status,orderPlacedDate
Aisha53@hotmail.com,4,65.76,Order placed,2021-05-19
Alayna_Zemlak@hotmail.com,9,210.66,Order placed,2019-02-11
Albina_Wolf9@gmail.com,6,108.49,Order placed,2020-09-10
Alexzander_Hamill28@hotmail.com,9,223.20,Order placed,2018-04-21
Allene_Goldner@gmail.com,10,284.45,Order placed,2021-01-15
Anahi68@gmail.com,6,158.25,Order being processed,2020-04-27
Andre13@yahoo.com,1,40.90,Order being processed,2019-08-12
Bennett.Sipes56@gmail.com,2,53.00,Order being processed,2021-05-16
Casimir.Crist84@gmail.com,6,132.00,Order being processed,2018-05-12
Chanel.Wyman71@yahoo.com,6,283.80,Order being processed,2021-02-25
Cierra.Blick@hotmail.com,13,401.50,Order Shipped,2021-04-25
Clemmie19@gmail.com,1,47.95,Order Shipped,2020-03-12
Creola_Gorczany@yahoo.com,2,68.70,Order Shipped,2021-06-03
Elaina_Ritchie@hotmail.com,6,101.15,Order Shipped,2019-12-20
Elisha34@yahoo.com,7,51.30,Order Shipped,2021-02-18
Evan_McGlynn1@gmail.com,2,91.00,Order Delivered,2020-05-20
Fanny.Boehm87@yahoo.com,10,262.80,Order Delivered,2020-07-05
Frederic.Simonis26@yahoo.com,5,15.00,Order Delivered,2018-06-10
Geovanny_Kilback@yahoo.com,3,28.20,Order Delivered,2021-11-13
Jamison89@hotmail.com,10,325.50,Order Delivered,2019-12-28
