"compname","p_phone","p_email","p_bankaccount"
"Ace","(971) 740-5819 x04548","Jerrod31@hotmail.com","77062887"
"Alfred A. Knopf","438-659-3696 x647","Amara_Jones79@yahoo.com","31267235"
"Anchor Books","971-220-5289 x67404","Madeline53@hotmail.com","44948743"
"Arrow Books Ltd","636.599.9096 x098","Louvenia.Hilll82@gmail.com","18233188"
"Arthur A. Levine Books","439-606-9869","Wilmer.Mertz@gmail.com","51821456"
"Bantam Books","999.521.0623 x64934","Stephon_Green59@gmail.com","65849427"
"Bloomsbury Publishing PLC","(805) 963-8818","Dorcas.Kshlerin@gmail.com","59576883"
"Bullseye Books/Alfred A. Knopf","1-511-272-1410 x97760","Jadon30@hotmail.com","59005425"
"DC Comics","1-272-828-9435","Eryn.Purdy@yahoo.com","48440361"
"Dutton Books","318-744-2675","Anastasia89@hotmail.com","65847938"
"Farrar, Straus and Giroux (BYR)","730-543-0030","Verner_Roob20@yahoo.com","60031671"
"Feiwel & Friends","246.441.4500 x36496","Melyssa95@hotmail.com","82532807"
"Grand Central Publishing","853-423-6383","Rico_Rogahn67@gmail.com","86269645"
"Harper Collins","270-557-2614 x338","Kane62@gmail.com","68114598"
"Harper Paperbacks","921.827.8629","Jaydon.Langworth5@yahoo.com","94419400"
"Harper Perennial","(347) 600-0140 x115","Derrick.Rice@yahoo.com","56672176"
"Harper Perennial Modern Classics","631-806-9253","Yoshiko_MacGyver@yahoo.com","30240434"
"Houghton Mifflin","358-398-0872 x51160","Rory15@yahoo.com","49178443"
"Houghton Mifflin Company","1-781-473-8283 x1081","Nicolette43@gmail.com","28520608"
"Hyperion","233.984.0745","Johann17@gmail.com","81820904"
"Little, Brown","623-690-1363","Blanche.Osinski@gmail.com","55531853"
"Little, Brown and Company","1-563-314-5596","Ellis_Cummerata80@hotmail.com","99281668"
"Little, Brown Young Readers","(436) 798-9783","Keira_Stark@gmail.com","36376872"
"Modern Library","(762) 543-4633","Mariah82@hotmail.com","04118592"
"Orbit","504-863-1592 x3520","Eda_Cruickshank@gmail.com","11724638"
"Orion (an Imprint of The Orion Publishing Group Ltd )","(618) 833-9984","Keagan82@yahoo.com","83298526"
"Oxford University Press","275-514-2553 x4708","Rosalinda_Homenick@gmail.com","74876979"
"Penguin Books","(432) 399-0213 x6674","Zander.Bernhard35@yahoo.com","36049591"
"Perennial","343-488-5305 x9003","Pietro_Kihn96@hotmail.com","06520018"
"Phaidon Press","505.300.3403 x2258","Cale.Altenwerth4@gmail.com","49249375"
"Picture Lions","1-278-609-7462","Peyton_Nader@gmail.com","92297810"
"Plume","1-361-796-8996 x32202","Tobin.Zieme83@hotmail.com","83109045"
"Pocket Books","868-466-0705","Maximo_Quitzon@gmail.com","38476113"
"Richard Jackson Books/Athaneum Books for Young Readers","478.796.9215","Dereck_Effertz@hotmail.com","09531737"
"Riverhead Books","(806) 437-6017","Kianna.Rutherford@gmail.com","10190373"
"Scholastic","849-352-4328 x753","Chloe_Moore@gmail.com","67236208"
"Scholastic Press","946.698.7917 x5617","Gudrun_Graham21@yahoo.com","55400734"
"Scribner","(844) 880-6628 x832","Micheal.Lehner@gmail.com","99630639"
"Signet Classic","1-426-330-7711","Sigmund.Stokes18@hotmail.com","72661564"
"Simon & Schuster Books for Young Readers","605-337-6204 x2222","Marie.Walsh@yahoo.com","59932637"
"Time Warner Paperbacks","(538) 793-1982","Thaddeus15@hotmail.com","30421900"
"Tor","1-679-203-9423 x290","Ola_McClure99@hotmail.com","90573276"
"Tor Books","509-668-3585 x8943","Joaquin.Corkery@hotmail.com","56443789"
"Viking","575.986.8276 x8627","Brice.Borer@yahoo.com","41375003"
"Warner","265.950.8296","Roxane_Brown@yahoo.com","07888573"
